X,Y,Z,Event-ID#,date,hour,Flowrate,Pressure
87245.4,121262.7,-3824.8,1,8/04/2008,17.926,0,0
87307.4,121275.3,-3831.8,2,8/04/2008,17.945,0,0
88666.1,122502.6,-3840.4,3,9/04/2008,19.088,0,0
87122.7,122160.1,-3856.3,4,11/04/2008,10.323,0,0
87110.5,122159.9,-3863.3,5,11/04/2008,11.382,0,0
87075,122157,-3864.5,6,11/04/2008,12.478,0,0
87159.6,120219.3,-3865.5,7,11/04/2008,13.003,0,0
87107,122165.6,-3868.2,8,11/04/2008,13.101,0,0
87111.3,122156.4,-3868.3,9,11/04/2008,23.166,0,0
87127.9,122150.3,-3873.5,10,12/04/2008,15.528,0,0
87114.4,122183,-3873.6,11,14/04/2008,16.259,0,0
87122.6,122158.9,-3874.4,12,14/04/2008,16.365,0,0
87311.1,121314.7,-3875.5,13,15/04/2008,4.135,0,0
87137.7,122192.3,-3879.5,14,15/04/2008,9.207,0,0
87132.6,122197.5,-3880,15,15/04/2008,9.495,0,0
87125.2,122139.2,-3880.7,16,16/04/2008,23.476,0,0
88338.1,121836.4,-3882.1,17,17/04/2008,0.821,0,0
88389.5,121805,-3884.8,18,17/04/2008,0.822,0,0
87282.6,121282.8,-3887.3,19,22/04/2008,8.145,0,0
87248.9,121361.4,-3888.8,20,22/04/2008,20.994,0,0
87271.3,121336.8,-3889,21,9/07/2008,7.548,0,0
87291.2,121293.3,-3889.4,22,21/07/2008,12.155,0,0
87555.1,121286.4,-3890.2,23,26/07/2008,18.424,0,0
87570.2,121397.8,-3892.8,24,26/07/2008,19.463,0,0
87514.7,121399.4,-3893.6,25,26/07/2008,19.742,0,0
87600.2,121302.4,-3896.4,26,27/07/2008,8.937,0,0
87512.3,121263.3,-3899.5,27,27/07/2008,9.242,0,0
87504.6,121328.7,-3900.5,28,27/07/2008,10.206,0,0
87495.2,121274.7,-3901,29,27/07/2008,11.237,0,0
87518.8,121307.7,-3904.2,30,29/07/2008,6.846,0,0
87520.6,121319.4,-3905.7,31,29/07/2008,6.979,0,0
87613.8,121276.2,-3906.3,32,30/07/2008,8.153,0,0
88661.2,122773.1,-3906.5,33,12/09/2008,1.88,0,0
88618.9,122749.9,-3907.5,34,12/09/2008,1.886,0,0
88570.2,122738.7,-3907.6,35,12/09/2008,1.897,0.1,0
88616,122791.5,-3908.1,36,12/09/2008,1.899,0.12,0.1075
88679,122747.3,-3909.8,37,12/09/2008,1.912,0.16,0.1175
87885.8,120989.2,-3910.4,38,12/09/2008,1.915,0.15,0.13
87816.7,121032.9,-3910.5,39,12/09/2008,1.915,0.19,0.14
87840.5,120938.7,-3913.4,40,12/09/2008,1.918,0.21,0.1525
88607.2,122703.7,-3914.8,41,12/09/2008,1.921,0.23,0.1625
87743.3,120961.2,-3915,42,12/09/2008,1.924,0.25,0.175
88490.1,122905.8,-3915,43,12/09/2008,1.937,0.27,0.185
88543.8,122857.2,-3915.9,44,12/09/2008,1.946,0.29,0.1975
88520,122924.8,-3915.9,45,12/09/2008,1.95,0.31,0.21
88655,122929,-3916.4,46,12/09/2008,1.957,0.33,0.2225
88673.7,122734.7,-3916.6,47,12/09/2008,1.959,0.35,0.235
88144.4,121957.2,-3917.1,48,12/09/2008,1.98,0.37,0.2475
88634.4,122721.6,-3917.837,49,12/09/2008,1.984,0.39,0.2625
87594.4,121666.6,-3918.9,50,12/09/2008,1.987,1.12,0.275
88643.2,122720,-3919.3,51,12/09/2008,1.989,1.19,0.2875
88653.3,122739.2,-3919.7,52,12/09/2008,1.991,1.21,0.3025
88638.7,122694.6,-3919.8,53,12/09/2008,2.005,1.23,0.315
88704.7,122694.1,-3920.2,54,12/09/2008,2.009,1.19,0.33
88631.6,122663.1,-3920.4,55,12/09/2008,2.017,1.25,0.345
88684.9,122718,-3921.5,56,12/09/2008,2.031,1.26,0.36
88736.2,122728.2,-3921.7,57,12/09/2008,2.033,1.54,0.3725
88698.2,122653.5,-3921.8,58,12/09/2008,2.036,1.65,0.3875
88613.5,122739.7,-3921.8,59,12/09/2008,2.046,1.75,0.4025
88748.4,122612.9,-3921.9,60,12/09/2008,2.061,1.86,0.4175
88608.5,122584,-3921.9,61,12/09/2008,2.078,1.96,0.4325
88596.7,122669.1,-3922.5,62,12/09/2008,2.09,2.07,0.4475
88657.8,122606,-3923.4,63,12/09/2008,2.106,2.17,0.465
88699.9,122676,-3923.6,64,12/09/2008,2.116,2.28,0.48
88649.7,122632.6,-3923.8,65,12/09/2008,2.12,2.39,0.495
